dataset,method,phase,success,status,reason,source,selected_success
coil20,oos_umap,external,False,unavailable,公式OOS_UMAPの確認済みコミットにはnetwork_sig.py等のネットワーク定義はあるが、論文のCE/MSE/CEMSE学習・OOS最適化の実行コードと汎用fit/transform APIがない。公式手法を独自再実装せず、今回の比較では利用不可とする。,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,False
coil20,oos_umap,external,False,unavailable,公式OOS_UMAPの確認済みコミットにはnetwork_sig.py等のネットワーク定義はあるが、論文のCE/MSE/CEMSE学習・OOS最適化の実行コードと汎用fit/transform APIがない。公式手法を独自再実装せず、今回の比較では利用不可とする。,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil20/oos_umap/result.json,False
coil100,parametric_umap,external,False,failed,ValueError: reference埋め込みのshapeまたは有限性が不正です,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,False
coil100,parametric_umap,external,False,failed,ValueError: reference埋め込みのshapeまたは有限性が不正です,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil100/parametric_umap/result.json,False
coil100,numap,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,True
coil100,numap,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil100/numap/result.json,True
coil100,paramrepulsor,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,True
coil100,paramrepulsor,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil100/paramrepulsor/result.json,True
coil100,oos_umap,external,False,unavailable,公式OOS_UMAPの確認済みコミットにはnetwork_sig.py等のネットワーク定義はあるが、論文のCE/MSE/CEMSE学習・OOS最適化の実行コードと汎用fit/transform APIがない。公式手法を独自再実装せず、今回の比較では利用不可とする。,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,False
coil100,oos_umap,external,False,unavailable,公式OOS_UMAPの確認済みコミットにはnetwork_sig.py等のネットワーク定義はあるが、論文のCE/MSE/CEMSE学習・OOS最適化の実行コードと汎用fit/transform APIがない。公式手法を独自再実装せず、今回の比較では利用不可とする。,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil100/oos_umap/result.json,False
pancreas,parametric_umap,external,False,failed,ValueError: reference埋め込みのshapeまたは有限性が不正です,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,False
pancreas,parametric_umap,external,False,failed,ValueError: reference埋め込みのshapeまたは有限性が不正です,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/pancreas/parametric_umap/result.json,False
pancreas,numap,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,True
pancreas,numap,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/pancreas/numap/result.json,True
pancreas,paramrepulsor,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,True
pancreas,paramrepulsor,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/pancreas/paramrepulsor/result.json,True
pancreas,oos_umap,external,False,unavailable,公式OOS_UMAPの確認済みコミットにはnetwork_sig.py等のネットワーク定義はあるが、論文のCE/MSE/CEMSE学習・OOS最適化の実行コードと汎用fit/transform APIがない。公式手法を独自再実装せず、今回の比較では利用不可とする。,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,False
pancreas,oos_umap,external,False,unavailable,公式OOS_UMAPの確認済みコミットにはnetwork_sig.py等のネットワーク定義はあるが、論文のCE/MSE/CEMSE学習・OOS最適化の実行コードと汎用fit/transform APIがない。公式手法を独自再実装せず、今回の比較では利用不可とする。,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/pancreas/oos_umap/result.json,False
pancreas_batch_corrected,parametric_umap,external,False,failed,ValueError: reference埋め込みのshapeまたは有限性が不正です,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,False
pancreas_batch_corrected,parametric_umap,external,False,failed,ValueError: reference埋め込みのshapeまたは有限性が不正です,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/pancreas_batch_corrected/parametric_umap/result.json,False
pancreas_batch_corrected,numap,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,True
pancreas_batch_corrected,numap,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/pancreas_batch_corrected/numap/result.json,True
pancreas_batch_corrected,paramrepulsor,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,True
pancreas_batch_corrected,paramrepulsor,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/pancreas_batch_corrected/paramrepulsor/result.json,True
pancreas_batch_corrected,oos_umap,external,False,unavailable,公式OOS_UMAPの確認済みコミットにはnetwork_sig.py等のネットワーク定義はあるが、論文のCE/MSE/CEMSE学習・OOS最適化の実行コードと汎用fit/transform APIがない。公式手法を独自再実装せず、今回の比較では利用不可とする。,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,False
pancreas_batch_corrected,oos_umap,external,False,unavailable,公式OOS_UMAPの確認済みコミットにはnetwork_sig.py等のネットワーク定義はあるが、論文のCE/MSE/CEMSE学習・OOS最適化の実行コードと汎用fit/transform APIがない。公式手法を独自再実装せず、今回の比較では利用不可とする。,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/pancreas_batch_corrected/oos_umap/result.json,False
fashion_mnist,parametric_umap,external,False,failed,ValueError: reference埋め込みのshapeまたは有限性が不正です,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,False
fashion_mnist,parametric_umap,external,False,failed,ValueError: reference埋め込みのshapeまたは有限性が不正です,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/fashion_mnist/parametric_umap/result.json,False
fashion_mnist,numap,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,True
fashion_mnist,numap,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/fashion_mnist/numap/result.json,True
fashion_mnist,paramrepulsor,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,True
fashion_mnist,paramrepulsor,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/fashion_mnist/paramrepulsor/result.json,True
fashion_mnist,oos_umap,external,False,unavailable,公式OOS_UMAPの確認済みコミットにはnetwork_sig.py等のネットワーク定義はあるが、論文のCE/MSE/CEMSE学習・OOS最適化の実行コードと汎用fit/transform APIがない。公式手法を独自再実装せず、今回の比較では利用不可とする。,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,False
