query_index,label,recall_at_5_standard_umap,recall_at_15_standard_umap,recall_at_5_umaping,recall_at_15_umaping,delta_recall_at_5,delta_recall_at_15
183,gamma,0.0,0.2666666666666666,0.0,0.2,0.0,-0.0666666666666666
184,gamma,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0
185,gamma,0.0,0.1333333333333333,0.0,0.2,0.0,0.06666666666666671
186,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
187,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
188,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
189,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
190,gamma,0.0,0.0,0.2,0.2666666666666666,0.2,0.2666666666666666
191,gamma,0.0,0.2,0.2,0.1333333333333333,0.2,-0.06666666666666671
192,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
193,gamma,0.0,0.2666666666666666,0.4,0.3333333333333333,0.4,0.06666666666666671
194,gamma,0.2,0.2,0.2,0.2,0.0,0.0
195,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
196,gamma,0.0,0.0,0.0,0.0,0.0,0.0
197,gamma,0.0,0.0666666666666666,0.2,0.2,0.2,0.13333333333333341
198,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
199,gamma,0.0,0.0,0.0,0.0,0.0,0.0
200,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
201,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
202,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
203,gamma,0.0,0.2,0.0,0.0666666666666666,0.0,-0.13333333333333341
204,gamma,0.0,0.0,0.2,0.2,0.2,0.2
205,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
206,gamma,0.0,0.0,0.0,0.2,0.0,0.2
